"Origin.Season","Contestant","Name","Age","City","State.Country","Outcome"
"1","BeBe Zahara Benet","Nea Marshall Kudi",28,"Minneapolis"," Minnesota","Winner"
"1","Nina Flowers","Jorge Luis Flores Sanchez",34,"Bayamón"," Puerto Rico","Runner-up"
"1","Rebecca Glasscock","Javier Rivera",26,"Fort Lauderdale"," Florida","3rd Place"
"1","Shannel","Bryan Watkins",29,"Las Vegas"," Nevada","4th Place"
"1","Ongina","Ryan Ong Palao",26,"Los Angeles"," California","5th Place"
"1","Jade","David Sotomayor",25,"Chicago"," Illinois","6th Place"
"1","Akashia","Eric Flint",24,"Cleveland"," Ohio","7th Place"
"1","Tammie Brown","Keith Glen Schubert",29,"Long Beach"," California","8th Place"
"1","Victoria ""Porkchop"" Parker","Victor Bowling",39,"Raleigh"," North Carolina","9th Place"
"2","Tyra Sanchez","James Ross",21,"Orlando"," Florida","Winner"
"2","Raven","David Petruschin",30,"Riverside"," California","Runner-up"
"2","Jujubee","Airline Inthyrath",25,"Boston"," Massachusetts","3rd Place"
"2","Tatianna","Joey Santolini",21,"Falls Church"," Virginia","4th Place"
"2","Pandora Boxx","Michael Steck",37,"Rochester"," New York","5th Place"
"2","Jessica Wild","José David Sierra",29,"San Juan"," Puerto Rico","6th Place"
"2","Sahara Davenport","Antoine Ashley",25,"New York"," New York","7th Place"
"2","Morgan McMichaels","Thomas White",28,"Mira Loma"," California","8th Place"
"2","Sonique","",26,"Atlanta"," Georgia","9th Place"
"2","Mystique Summers Madison","",25,"Bedford"," Texas","10th Place"
"2","Nicole Paige Brooks","Brian Christopher Pryor",36,"Atlanta"," Georgia","11th Place"
"2","Shangela Laquifa Wadley","D.J. Pierce",28,"Studio City"," California","12th Place"
"3","Raja","Sutan Amrull",36,"Los Angeles"," California","Winner"
"3","Manila Luzon","Karl Westerberg",28,"New York"," New York","Runner-up"
"3","Alexis Mateo","Alexis Mateo Pacheco",30,"St. Petersburg"," Florida","3rd Place"
"3","Yara Sofia","Gabriel Burgos Ortiz",26,"Manati"," Puerto Rico","4th Place"
"3","Carmen Carrera","Carmen Roman",25,"Elmwood Park"," New Jersey","5th Place"
"3","Shangela","D.J. Pierce",29,"Los Angeles"," California","6th Place"
"3","Delta Work","",34,"Norwalk"," California","7th Place"
"3","Stacy Layne Matthews","Stacy Jones",25,"Back Swamp"," North Carolina","8th Place"
"3","Mariah","",29,"Atlanta"," Georgia","9th Place"
"3","India Ferrah","Shane Richardson",23,"Dayton"," Ohio","10th Place"
